[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Draft) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(preview) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(create) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(create) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_DraftBoolean) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(get) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_DraftBoolean) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(get) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Updatepublished) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Updatepublished) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Preview) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(templates) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Templateid) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(transmissions) / TsTypeObject() / TsMemberFunction(list) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Templateid) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(transmissions) / TsTypeObject() / TsMemberFunction(list) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Numrcpterrors) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(transmissions) / TsTypeObject() / TsMemberFunction(send) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Totalacceptedrecipients) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(transmissions) / TsTypeObject() / TsMemberFunction(send) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Totalacceptedrecipients) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(transmissions) / TsTypeObject() / TsMemberFunction(send) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Totalacceptedrecipients) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(transmissions) / TsTypeObject() / TsMemberFunction(send) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Numrcpterrors) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(transmissions) / TsTypeObject() / TsMemberFunction(send) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Totalacceptedrecipients) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(transmissions) / TsTypeObject() / TsMemberFunction(send) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Get) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(transmissions) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Search) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(messageEvents) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MessageString) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(suppressionList) / TsTypeObject() / TsMemberFunction(upsert) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MessageString) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(suppressionList) / TsTypeObject() / TsMemberFunction(upsert) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MessageString) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(suppressionList) / TsTypeObject() / TsMemberFunction(upsert) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MessageString) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(suppressionList) / TsTypeObject() / TsMemberFunction(upsert) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_GetEmail) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(suppressionList) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Showrecipients) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(recipientLists) / TsTypeObject() / TsMemberFunction(get) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Showrecipients) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(recipientLists) / TsTypeObject() / TsMemberFunction(get) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CreateOptions) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(recipientLists) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MessageString) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(subaccounts) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MessageString) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(subaccounts) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Update) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(subaccounts) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Domain) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(sendingDomains) / TsTypeObject() / TsMemberFunction(create) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Domain) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(sendingDomains) / TsTypeObject() / TsMemberFunction(create) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Domain) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(sendingDomains) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsFunParam() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Domain) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(sendingDomains) / TsTypeObject() / TsMemberFunction(update) / TsFunSig() / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Verify) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(sendingDomains) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_GetDomain) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclInterface(SparkPost) / TsMemberProperty(inboundDomains) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Emailrfc822) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(UpdateTemplate) / TsMemberProperty(content) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_TemplateidUsedrafttemplate) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(Transmission) / TsMemberProperty(content) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Emailrfc822) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(Transmission) / TsMemberProperty(content) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Emailrfc822) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(CreateTemplate) / TsMemberProperty(content) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Listid) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(CreateTransmission) / TsMemberProperty(recipients) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_TemplateidUsedrafttemplate) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(CreateTransmission) / TsMemberProperty(content) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Emailrfc822) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(CreateTransmission) / TsMemberProperty(content) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Results) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclTypeAlias(ResultsCallback) / TsTypeRef() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_TemplateidString) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(TransmissionSummary) / TsMemberProperty(content) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Emailrfc822) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(Template) / TsMemberProperty(content) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Name) [id => sparkpost, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(sparkpost) / TsDeclNamespace(SparkPost) / TsDeclInterface(InlineContent) / TsMemberProperty(from) / TsTypeUnion() / TsTypeObject())] 
