[info ] ExpandCallables.scala:57 Expanded setBranchHash into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclClass(Project))] 
[info ] ExpandCallables.scala:57 Expanded sendNotification into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmePlugin) / TsDeclClass(PluginBase))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Global) / TsDeclInterface(StateHandler))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Toolbar) / TsDeclInterface(ClickFn))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmePanel) / TsDeclInterface(LayoutCallback))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeCommon) / TsDeclInterface(VoidCallback))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeCommon) / TsDeclInterface(ErrorOnlyCallback))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeCommon) / TsDeclInterface(ResultCallback))] 
[info ] ExpandCallables.scala:57 Expanded getArtifact into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
[info ] ExpandCallables.scala:57 Expanded getSubObject into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
