[info ] InferredDependency.scala:20 Inferred dependencies Set(TsIdentLibrarySimple(react)) for TsIdentLibrarySimple(expo) [id => expo, phase => typescript, file => ../types/expo/index.d.ts] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(GLView) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(GLView) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(P) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(KeepAwake) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(LinearGradient) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(LinearGradient) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(LinearGradient) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(LinearGradient) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(P) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclFunction(registerRootComponent) / TsFunSig() / TsFunParam() / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclFunction(registerRootComponent) / TsFunSig() / TsFunParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Svg) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Svg) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(SS) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Svg) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Svg) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(S) at TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Svg) / TsMemberProperty(Circle) / TsTypeRef()) [id => expo, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(expo) / TsDeclClass(Svg) / TsMemberProperty(Circle) / TsTypeRef())] 
