[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_N) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2ms) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NetworkN) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2ms) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Validate) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2ms) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_N) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2ms) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NetworkRedeem) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2wsh) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Redeem) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2wsh) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NetworkRedeem) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2wsh) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Validate) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2wsh) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Redeem) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(payments) / TsDeclFunction(p2wsh) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Testnet) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclVar(networks) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Compressed) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclClass(ECPair) / TsMemberFunction(fromPublicKey) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Compressed) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclClass(ECPair) / TsMemberFunction(fromPrivateKey) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CompressedRng) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclClass(ECPair) / TsMemberFunction(makeRandom) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Private) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclInterface(Network) / TsMemberProperty(bip32) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_OPNUMNOTEQUAL) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclVar(opcodes) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Hash) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(address) / TsDeclFunction(fromBase58Check) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Prefix) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(address) / TsDeclFunction(fromBech32) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Check) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(nullData) / TsTypeObject() / TsMemberProperty(output) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Output) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(nullData) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_HashType) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclNamespace(signature) / TsDeclFunction(decode) / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CheckScript) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(multisig) / TsTypeObject() / TsMemberProperty(input) / TsTypeObject())] 
