[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(equals) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getSkeletonPoints) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getSubdivisions) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(isDifferentiable) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(length) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(lengthAtT) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(pointAt) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(pointAtLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(pointAtT) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(scale) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tangentAt) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tangentAtLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tangentAtT) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
