[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(SchemaTypeOpts) / TsDeclInterface(AsyncPromiseValidationFn))] 
[info ] ExpandCallables.scala:57 Expanded validator into 1 methods [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(SchemaTypeOpts) / TsDeclInterface(AsyncPromiseValidationOpts))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Types) / TsDeclInterface(ObjectId))] 
[info ] PreferTypeAlias.scala:97 Could not simplify Decimal128 to function type alias because of circular references Vector(TsIdentSimple(Decimal128)) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Types) / TsDeclInterface(Decimal128))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Query))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Schema) / TsDeclNamespace(Types) / TsDeclInterface(DocumentArray))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Schema) / TsDeclNamespace(Types) / TsDeclInterface(Mixed))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclNamespace(Schema) / TsDeclNamespace(Types) / TsDeclInterface(Embedded))] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclVar(models) / TsTypeObject() / TsMemberIndex() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclVar(models) / TsTypeObject() / TsMemberIndex() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclFunction(model) / TsFunSig() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclFunction(model) / TsFunSig() / TsTypeRef())] 
