[debug] PhaseRunner.scala:82 Success [id => c3, phase => typescript] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Position) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(XAxisConfiguration) / TsMemberProperty(label) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Position) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(YAxisConfiguration) / TsMemberProperty(label) / TsTypeUnion() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_BottomTop) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(YAxisConfiguration) / TsMemberProperty(padding) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Lines) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(Grid) / TsMemberProperty(x) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Lines) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(Grid) / TsMemberProperty(y) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Anchor) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(LegendOptions) / TsMemberProperty(inset) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Height) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(LegendOptions) / TsMemberProperty(item) / TsTypeObject() / TsMemberProperty(tile) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Id) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(LegendOptions) / TsMemberProperty(item) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_IdIndex) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(TooltipOptions) / TsMemberProperty(format) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_LeftTop) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(TooltipOptions) / TsMemberProperty(position) / TsTypeFunction() / TsFunSig() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_HeightNumber) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(SubchartOptions) / TsMemberProperty(size) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_EnabledR) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(PointOptions) / TsMemberProperty(focus) / TsTypeObject() / TsMemberProperty(expand) / TsTypeObject())] 
