[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(filter) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(filter) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(changes) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(innerJoin) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(outerJoin) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(eqJoin) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(eqJoin) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(zip) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(map) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(withFields) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(concatMap) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(orderBy) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(orderBy) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(skip) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(limit) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(slice) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(nth) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(indexesOf) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(isEmpty) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(union) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(sample) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getField) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(reduce) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(count) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(distinct) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(groupedMapReduce) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(groupBy) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(contains) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(pluck) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(without) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Sequence))] 
[info ] PreferTypeAlias.scala:73 Simplified to function type alias [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(ExpressionFunction))] 
[info ] PreferTypeAlias.scala:73 Simplified to function type alias [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(JoinFunction))] 
[info ] PreferTypeAlias.scala:73 Simplified to function type alias [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(ReduceFunction))] 
[info ] PreferTypeAlias.scala:168 Could not simplify rethinkdb.rethinkdb.BooleanMap to function type alias because of circular references Vector(TsQIdent(List(TsIdentLibrarySimple(rethinkdb), TsIdentModule(None,List(rethinkdb)), TsIdentSimple(BooleanMap)))) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(BooleanMap))] 
[info ] ExpandTypeParams.scala:53 Expanding 1 call members [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Expression))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(merge) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Expression))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(append) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Expression))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(contains) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Expression))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(and) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Expression))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(or) [id => rethinkdb, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(rethinkdb) / TsDeclInterface(Expression))] 
