[info ] ExpandCallables.scala:57 Expanded nodes into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(Service))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(DatacentersOptions))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(NodesOptions))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(ServicesOptions))] 
[info ] ExpandCallables.scala:57 Expanded datacenters into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Catalog))] 
[info ] ExpandCallables.scala:57 Expanded nodes into 5 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Catalog))] 
[info ] ExpandCallables.scala:57 Expanded services into 5 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Catalog))] 
[info ] ExpandCallables.scala:57 Expanded fire into 6 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Event))] 
[info ] ExpandCallables.scala:57 Expanded list into 5 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Event))] 
[info ] ExpandCallables.scala:57 Expanded node into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Health))] 
[info ] ExpandCallables.scala:57 Expanded checks into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Health))] 
[info ] ExpandCallables.scala:57 Expanded service into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Health))] 
[info ] ExpandCallables.scala:57 Expanded state into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Health))] 
