[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(addMultiplierAndOverhead) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(modulesSize) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(size) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(integratedSize) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(sortModules) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getAllAsyncChunks) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getChunkMaps) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getChunkModuleMaps) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(hasModuleInGraph) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toString) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Chunk))] 
