[debug] PhaseRunner.scala:78 Success [id => office-js, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/office-js/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/office-js),TsIdentLibrarySimple(office-js)),TsIdentModule(None,List(office-js))) [id => office-js, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(office-js) [id => office-js, phase => typescript] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(WorksheetProtection) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(TableSort) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartBorder) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartAreaFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartSeries) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartPlotArea) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartTrendline) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartLegend) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartDataLabels) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartSeriesFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartAxisTitleFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(Worksheet) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ConditionalRangeBorder) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ConditionalDataBarPositiveFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(TopBottomConditionalFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
