[debug] PhaseRunner.scala:84 Success [id => typescript-stl, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/typescript-stl/lib/typescript-stl.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/typescript-stl),TsIdentLibrarySimple(typescript-stl)),TsIdentModule(None,List(typescript-stl))) [id => typescript-stl, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:184 Processing TsIdentLibrarySimple(typescript-stl) [id => typescript-stl, phase => typescript] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(transform) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(generate) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(generate_n) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(unique) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(unique) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(unique_copy) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(unique_copy) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(remove) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(remove_if) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(remove_copy) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(remove_copy_if) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(replace) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(replace_if) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(replace_copy) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(replace_copy_if) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(iter_swap) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
